Order_ID,Customer_Name,Order_Date,Product_Category,Quantity,Price_Each,Shipping_Status
ORD-119,Olivia Harris,25/02/2025,Furniture,-5,NULL,Shipped
ORD-148,George Robinson,2025-10-20,Clothing,11,463.7,Delivered
ORD-148,Fiona Robinson,2025-04-16,Clothing,N/A,14.46,delivered
ORD-138,Diana Jones,Dec 26, 2025,Boks,13,155.6,Pending
ORD-063,Noah Harris,2025-08-27,Clothing,6,495.3,In Transit
ORD-026,Fiona Thomas,2025-11-24,Furniture,17,77.29,Shipped
ORD-135,Evan Garcia,Apr 07, 2026,Clothing,18,224.76,Delivered
ORD-069,Noah Brown,2026-03-17,Electronics,3,152.66,Pendng
ORD-001,Alice Smith,2025-01-15,Electronics,5,299.99,Shipped
ORD-150,Mia Clark,2025-05-30,Clothing,2,89.5,Pending
ORD-088,George Anderson,2025-09-12,Appliances,8,445.0,Delivered
ORD-107,Ian Martinez,2025-07-03,Appliances,4,312.1,Shipped
ORD-013,Julia White,2026-06-28,Electronics,12,18.0,In Transit
ORD-097,Bob Thompson,2025-02-14,Clothing,N/A,free,Shipped
ORD-034,Kevin Martin,2025-11-05,Appliances,10,56.75,Cnclled
ORD-119,Olivia Harris,25/02/2025,Furniture,-5,NULL,Shipped
ORD-122,Charlie Jackson,2025-04-22,Furniture,15,132.4,Pending
ORD-056,Liam Garcia,2026-01-19,Electronics,-10,201.33,Delivered
ORD-081,Hannah Taylor,2025-08-09,Appliances,7,378.9,Shipped
ORD-003,Alice Brown,2025-03-28,Electrnics,9,85.0,Pending
ORD-144,Diana Harris,2026-05-14,Appliances,14,259.0,Delivered
ORD-150,Mia Clark,2025-05-30,Clothing,2,89.5,Pending
ORD-059,Evan Thomas,2025-12-20,Furnitur,unknown,444.2,Shipped
ORD-019,Charlie Harris,2025-06-15,Electronics,11,67.5,Pending
ORD-025,Bob Martinez,2025-10-02,Clothing,4,156.0,Delivered
ORD-044,Olivia Jackson,2026-02-25,Appliances,6,89.99,Shipped
ORD-102,Kevin Anderson,2025-07-30,Furniture,8,345.67,Pending
ORD-077,Ian Smith,2025-04-18,Electronics,12,free,In Transit
ORD-038,Julia Garcia,2026-03-10,Clothing,5,29.99,Shipped
ORD-011,George White,2025-08-22,Appliances,3,199.5,Delivered
ORD-066,Noah Thompson,2025-01-30,Furniture,9,78.25,Pending
ORD-083,Liam Harris,2026-04-05,Electronics,2,512.0,Shipped
ORD-129,Fiona Jackson,2025-09-17,Clothing,16,134.8,Delivered
ORD-055,Alice Martin,2025-11-12,Appliances,7,223.4,Pending
ORD-091,Evan Clark,2025-06-08,Furniture,4,89.0,Shipped
ORD-117,Charlie Brown,2026-01-25,Electronics,13,156.75,In Transit
ORD-072,Diana Thompson,2025-07-14,Clothing,10,45.6,Pending
ORD-048,George Martinez,2025-02-28,Appliances,1,678.9,Delivered
ORD-099,Olivia Harris,2025-10-10,Furniture,18,34.99,Shipped
ORD-027,Bob White,2026-05-20,Electronics,6,289.0,Pending
ORD-060,Kevin Jones,2025-03-15,Clothing,8,99.99,Delivered
ORD-085,Hannah Robinson,2025-12-05,Appliances,14,145.3,Shipped
ORD-009,Fiona Smith,2025-04-02,Furniture,3,399.0,Pending
ORD-134,Ian Anderson,2026-06-12,Electronics,11,56.8,In Transit
ORD-041,Julia Martinez,2025-08-18,Clothing,9,78.5,Pending
ORD-078,Liam Brown,2025-01-22,Appliances,5,234.67,Delivered
ORD-095,Noah Garcia,2025-09-25,Furniture,2,189.0,Shipped
ORD-114,Alice Thompson,2026-02-14,Electronics,15,445.12,Pending
ORD-053,Charlie Clark,2025-07-07,Clothing,7,12.99,Delivered
ORD-087,George Harris,2025-11-28,Appliances,4,567.89,Shipped
ORD-002,Bob Smith,2025-05-19,Furniture,10,23.45,Pending
ORD-123,Diana White,2026-03-22,Electronics,1,78.9,In Transit
ORD-100,Evan Robinson,2025-10-08,Clothing,17,156.0,Pending
ORD-065,Olivia Jones,2025-04-26,Appliances,6,334.5,Delivered
ORD-046,Kevin Smith,2025-12-15,Furniture,12,89.25,Shipped
ORD-075,Fiona Brown,2026-01-08,Electronics,8,198.76,Pending
ORD-112,Ian Harris,2025-06-30,Clothing,3,67.4,In Transit
ORD-031,Julia Thompson,2025-02-10,Appliances,14,456.78,Shipped
